RetailerKey,RetailerCode,RetailerName,ChannelType,Country,Region,ContractTier,LaunchDate,AccountManager
1,R1000,Retailer_0,Physical Store,France,Central,Standard,2019-06-27,Kim
2,R1001,Retailer_1,Physical Store,Germany,South,Standard,2021-07-15,Nguyen
3,R1002,Retailer_2,Online,France,North,Standard,2019-09-24,Kim
4,R1003,Retailer_3,Online,Australia,South,Preferred,2020-06-08,Nguyen
5,R1004,Retailer_4,Marketplace,Japan,East,Preferred,2023-07-11,Smith
6,R1005,Retailer_5,Physical Store,France,South,Premium,2021-02-20,Smith
7,R1006,Retailer_6,Online,Canada,South,Preferred,2022-04-23,Nguyen
8,R1007,Retailer_7,Marketplace,Canada,South,Premium,2023-03-18,Nguyen
9,R1008,Retailer_8,Physical Store,Japan,West,Premium,2022-12-15,Kim
10,R1009,Retailer_9,Marketplace,Australia,East,Premium,2020-11-09,Nguyen
11,R1010,Retailer_10,Online,UK,South,Premium,2021-10-09,Garcia
12,R1011,Retailer_11,Online,Australia,South,Premium,2023-03-05,Smith
13,R1012,Retailer_12,Physical Store,USA,South,Standard,2020-09-16,Smith
14,R1013,Retailer_13,Marketplace,USA,North,Preferred,2020-12-12,Rossi
15,R1014,Retailer_14,Physical Store,USA,West,Standard,2022-02-02,Nguyen
16,R1015,Retailer_15,Online,Japan,North,Premium,2020-01-15,Patel
17,R1016,Retailer_16,Online,Canada,West,Preferred,2020-06-09,Patel
18,R1017,Retailer_17,Marketplace,Germany,South,Standard,2019-10-27,Nguyen
19,R1018,Retailer_18,Marketplace,Canada,East,Standard,2019-08-03,Garcia
20,R1019,Retailer_19,Marketplace,Germany,Central,Premium,2018-05-10,Patel
21,R1020,Retailer_20,Physical Store,Germany,Central,Standard,2019-02-28,Rossi
22,R1021,Retailer_21,Marketplace,Canada,South,Standard,2020-07-16,Nguyen
23,R1022,Retailer_22,Marketplace,Japan,North,Standard,2018-05-05,Garcia
24,R1023,Retailer_23,Online,Australia,East,Standard,2023-01-04,Garcia
25,R1024,Retailer_24,Online,Germany,West,Standard,2019-01-29,Kim
26,R1025,Retailer_25,Marketplace,UK,South,Premium,2019-02-24,Garcia
27,R1026,Retailer_26,Marketplace,Canada,East,Premium,2019-06-06,Patel
28,R1027,Retailer_27,Online,Canada,East,Standard,2022-06-07,Patel
29,R1028,Retailer_28,Marketplace,USA,West,Premium,2020-02-07,Nguyen
30,R1029,Retailer_29,Physical Store,Australia,East,Premium,2023-08-12,Nguyen
31,R1030,Retailer_30,Physical Store,USA,North,Preferred,2022-11-19,Garcia
32,R1031,Retailer_31,Physical Store,Canada,North,Standard,2023-09-11,Rossi
33,R1032,Retailer_32,Marketplace,Canada,North,Premium,2020-03-05,Smith
34,R1033,Retailer_33,Online,Germany,East,Premium,2018-02-16,Kim
35,R1034,Retailer_34,Marketplace,Australia,North,Standard,2019-03-07,Smith
36,R1035,Retailer_35,Marketplace,France,West,Preferred,2020-04-28,Garcia
37,R1036,Retailer_36,Online,UK,East,Standard,2019-07-21,Garcia
38,R1037,Retailer_37,Online,Germany,Central,Preferred,2021-01-18,Smith
39,R1038,Retailer_38,Online,Canada,East,Standard,2019-01-05,Kim
40,R1039,Retailer_39,Physical Store,Germany,West,Standard,2020-05-23,Smith
41,R1040,Retailer_40,Marketplace,UK,Central,Standard,2017-02-27,Nguyen
42,R1041,Retailer_41,Online,Canada,East,Standard,2022-12-28,Patel
43,R1042,Retailer_42,Marketplace,UK,North,Preferred,2018-06-03,Rossi
44,R1043,Retailer_43,Physical Store,France,South,Preferred,2020-01-29,Nguyen
45,R1044,Retailer_44,Physical Store,Germany,South,Premium,2017-07-06,Patel
46,R1045,Retailer_45,Online,Japan,North,Standard,2017-08-12,Rossi
47,R1046,Retailer_46,Online,Germany,South,Preferred,2023-03-17,Rossi
48,R1047,Retailer_47,Marketplace,USA,South,Preferred,2020-04-11,Rossi
49,R1048,Retailer_48,Online,Australia,North,Preferred,2018-06-02,Garcia
50,R1049,Retailer_49,Marketplace,Australia,North,Standard,2022-07-04,Rossi
51,R1050,Retailer_50,Online,USA,East,Premium,2018-02-25,Kim
