SaleKey,InvoiceNumber,SaleDate,GameKey,CustomerKey,RetailerKey,UnitsSold,UnitPrice,DiscountPct,UnitCost,NetSalesAmount,TotalCostAmount,GrossProfitAmount,GrossMarginPct,PromoFlag,OrderSource
1,INV10000,2022-01-03,38,423,353,3,36.63,0.02,20.77,107.69,62.31,45.38,0.4214,True,Retail POS
2,INV10001,2022-10-11,300,371,262,5,23.55,0.24,13.04,89.49,65.2,24.29,0.2714,False,Retail POS
3,INV10002,2024-05-29,179,206,423,4,24.47,0.03,9.52,94.94,38.08,56.86,0.5989,True,Mobile App
4,INV10003,2022-05-29,97,286,495,3,41.68,0.28,22.4,90.03,67.2,22.83,0.2536,True,Website
5,INV10004,2022-05-14,380,105,274,1,37.78,0.02,12.46,37.02,12.46,24.56,0.6634,True,Mobile App
6,INV10005,2023-07-08,469,242,457,2,45.8,0.02,25.04,89.77,50.08,39.69,0.4421,False,Website
7,INV10006,2022-09-14,282,235,328,5,35.23,0.12,17.71,155.01,88.55,66.46,0.4287,True,Website
8,INV10007,2024-03-28,238,176,345,1,54.39,0.36,17.75,34.81,17.75,17.06,0.4901,True,Mobile App
9,INV10008,2022-06-28,164,211,223,4,63.19,0.26,31.91,187.04,127.64,59.4,0.3176,True,Retail POS
10,INV10009,2022-04-23,453,31,42,4,34.93,0.31,16.56,96.41,66.24,30.17,0.3129,False,Retail POS
11,INV10010,2023-11-08,97,235,4,2,29.64,0.06,14.18,55.72,28.36,27.36,0.491,False,Website
12,INV10011,2024-06-06,257,242,276,2,25.8,0.33,9.99,34.57,19.98,14.59,0.422,False,Retail POS
13,INV10012,2022-01-27,309,491,284,5,50.8,0.0,19.3,254.0,96.5,157.5,0.6201,False,Mobile App
14,INV10013,2022-05-15,262,153,424,5,42.18,0.09,22.3,191.92,111.5,80.42,0.419,True,Mobile App
15,INV10014,2022-01-16,293,196,193,2,29.39,0.25,11.08,44.08,22.16,21.92,0.4973,False,Mobile App
16,INV10015,2023-01-02,258,498,104,2,52.65,0.15,22.84,89.5,45.68,43.82,0.4896,True,Website
17,INV10016,2024-03-19,249,435,247,4,27.41,0.39,13.94,66.88,55.76,11.12,0.1663,False,Website
18,INV10017,2024-03-18,245,269,300,2,47.71,0.01,15.45,94.47,30.9,63.57,0.6729,True,Retail POS
19,INV10018,2022-09-01,251,484,23,3,46.35,0.4,22.17,83.43,66.51,16.92,0.2028,False,Mobile App
20,INV10019,2023-08-26,123,447,441,1,56.7,0.25,27.04,42.53,27.04,15.49,0.3642,False,Mobile App
21,INV10020,2022-11-28,325,384,303,2,22.75,0.22,11.49,35.49,22.98,12.51,0.3525,False,Website
22,INV10021,2022-01-17,474,170,13,5,64.38,0.02,26.46,315.46,132.3,183.16,0.5806,False,Website
23,INV10022,2022-06-28,169,438,144,3,55.14,0.11,23.97,147.22,71.91,75.31,0.5115,True,Website
24,INV10023,2022-09-29,435,357,218,5,30.8,0.37,12.29,97.02,61.45,35.57,0.3666,False,Mobile App
25,INV10024,2022-02-23,175,323,183,3,29.16,0.14,15.82,75.23,47.46,27.77,0.3691,False,Mobile App
26,INV10025,2022-05-10,269,336,351,2,41.57,0.26,14.1,61.52,28.2,33.32,0.5416,False,Retail POS
27,INV10026,2024-01-30,204,474,242,1,60.87,0.4,35.85,36.52,35.85,0.67,0.0183,True,Mobile App
28,INV10027,2023-03-08,325,232,193,5,62.14,0.11,30.48,276.52,152.4,124.12,0.4489,False,Retail POS
29,INV10028,2023-06-23,66,184,465,3,46.01,0.23,26.04,106.28,78.12,28.16,0.265,False,Retail POS
30,INV10029,2022-04-27,315,359,272,4,63.03,0.28,26.97,181.53,107.88,73.65,0.4057,True,Mobile App
31,INV10030,2024-02-03,324,275,375,2,20.26,0.07,8.1,37.68,16.2,21.48,0.5701,True,Retail POS
32,INV10031,2022-03-07,59,430,165,1,21.75,0.06,12.4,20.44,12.4,8.04,0.3933,True,Retail POS
33,INV10032,2023-05-03,219,399,180,2,65.58,0.18,21.62,107.55,43.24,64.31,0.598,False,Website
34,INV10033,2023-04-05,498,32,117,4,58.76,0.15,19.69,199.78,78.76,121.02,0.6058,True,Mobile App
35,INV10034,2024-03-07,373,177,266,1,42.53,0.29,16.58,30.2,16.58,13.62,0.451,False,Retail POS
36,INV10035,2023-01-06,266,405,378,4,57.67,0.03,33.91,223.76,135.64,88.12,0.3938,True,Retail POS
37,INV10036,2023-06-10,141,65,38,2,67.77,0.39,33.2,82.68,66.4,16.28,0.1969,False,Retail POS
38,INV10037,2023-08-31,236,198,44,3,58.59,0.01,27.32,174.01,81.96,92.05,0.529,True,Mobile App
39,INV10038,2022-04-22,386,27,351,2,62.11,0.24,31.78,94.41,63.56,30.85,0.3268,True,Website
40,INV10039,2023-04-08,218,151,74,2,58.02,0.23,24.67,89.35,49.34,40.01,0.4478,True,Website
41,INV10040,2023-05-31,15,303,438,2,28.4,0.05,14.98,53.96,29.96,24.0,0.4448,False,Mobile App
42,INV10041,2022-08-15,302,479,369,5,61.67,0.06,25.78,289.85,128.9,160.95,0.5553,True,Mobile App
43,INV10042,2023-09-22,441,268,226,4,29.75,0.32,16.3,80.92,65.2,15.72,0.1943,False,Mobile App
44,INV10043,2022-02-14,138,85,307,4,64.62,0.36,24.57,165.43,98.28,67.15,0.4059,True,Mobile App
45,INV10044,2024-01-15,406,500,308,4,42.92,0.11,16.45,152.8,65.8,87.0,0.5694,True,Website
46,INV10045,2024-03-13,232,66,454,5,53.84,0.18,24.59,220.74,122.95,97.79,0.443,True,Retail POS
47,INV10046,2024-06-06,89,133,348,3,44.85,0.14,19.25,115.71,57.75,57.96,0.5009,False,Retail POS
48,INV10047,2023-11-06,463,393,476,2,24.69,0.03,12.21,47.9,24.42,23.48,0.4902,False,Mobile App
49,INV10048,2023-06-18,77,404,315,3,34.53,0.27,14.13,75.62,42.39,33.23,0.4394,False,Mobile App
50,INV10049,2022-11-05,136,366,13,5,69.18,0.33,25.54,231.75,127.7,104.05,0.449,True,Retail POS
51,INV10050,2023-04-15,405,82,425,4,68.03,0.12,30.0,239.47,120.0,119.47,0.4989,False,Website
52,INV10051,2023-10-21,469,381,12,2,36.01,0.4,16.86,43.21,33.72,9.49,0.2196,False,Mobile App
53,INV10052,2022-02-01,406,319,50,1,69.8,0.03,23.93,67.71,23.93,43.78,0.6466,True,Mobile App
54,INV10053,2022-03-04,110,470,488,1,62.27,0.26,29.08,46.08,29.08,17.0,0.3689,True,Website
55,INV10054,2023-05-06,353,328,313,3,50.54,0.18,20.0,124.33,60.0,64.33,0.5174,False,Website
56,INV10055,2024-05-17,301,98,434,4,22.0,0.18,9.19,72.16,36.76,35.4,0.4906,False,Website
57,INV10056,2023-02-16,91,73,249,1,65.06,0.18,24.97,53.35,24.97,28.38,0.532,True,Mobile App
58,INV10057,2023-03-13,424,327,119,3,47.86,0.1,27.73,129.22,83.19,46.03,0.3562,False,Website
59,INV10058,2023-12-04,370,30,57,5,63.41,0.29,32.02,225.11,160.1,65.01,0.2888,True,Mobile App
60,INV10059,2022-04-21,406,125,182,3,61.71,0.29,23.37,131.44,70.11,61.33,0.4666,True,Mobile App
61,INV10060,2023-05-18,414,210,450,3,61.64,0.11,30.42,164.58,91.26,73.32,0.4455,False,Website
62,INV10061,2023-12-31,190,475,264,3,54.9,0.33,30.45,110.35,91.35,19.0,0.1722,False,Retail POS
63,INV10062,2023-03-31,73,272,106,2,34.56,0.13,14.53,60.13,29.06,31.07,0.5167,True,Website
64,INV10063,2022-03-17,173,213,191,3,36.8,0.29,20.2,78.38,60.6,17.78,0.2268,False,Retail POS
65,INV10064,2022-03-24,35,133,137,3,35.41,0.05,12.26,100.92,36.78,64.14,0.6356,True,Website
66,INV10065,2022-11-26,210,157,188,2,20.99,0.07,11.48,39.04,22.96,16.08,0.4119,False,Website
67,INV10066,2023-09-15,298,47,120,2,49.12,0.13,22.7,85.47,45.4,40.07,0.4688,True,Mobile App
68,INV10067,2022-06-01,133,357,242,5,54.93,0.24,20.15,208.73,100.75,107.98,0.5173,False,Mobile App
69,INV10068,2022-03-09,283,363,319,4,62.68,0.26,26.46,185.53,105.84,79.69,0.4295,False,Mobile App
70,INV10069,2022-05-10,198,382,72,1,27.0,0.16,16.1,22.68,16.1,6.58,0.2901,True,Mobile App
71,INV10070,2022-10-09,446,22,243,1,47.2,0.03,25.26,45.78,25.26,20.52,0.4482,False,Mobile App
